枠番号,キャラ名,カード名,シリーズ,属性,開始日,終了日,復刻回数,URL
83,草薙 伯玖,心を掌握する瞳,15章,草,2025/11/04,2025/11/11,3,https://nek0-tkdb.github.io/tools/img/haku_15.jpg
83,衣佐美 佑理,誰かを幸せにする実験,結婚,水,2025/11/04,2025/11/11,3,https://nek0-tkdb.github.io/tools/img/yur_mar.jpg
84,エドワード・ハート,隠者の誘惑,誕生日,火,2025/11/07,2025/11/14,1,https://nek0-tkdb.github.io/tools/img/edward_tar.jpg
84,星喰 大我,欲望渦巻くこの街で,休日,草,2025/11/07,2025/11/14,3,https://nek0-tkdb.github.io/tools/img/taiga_hol.jpg
84,針条 律,司法こそが我が至宝,8章,草,2025/11/11,2025/11/18,5,https://nek0-tkdb.github.io/tools/img/ritsu08.jpg
84,ロミオ・ルッチ,金貨のキングの誘惑,誕生日,水,2025/11/11,2025/11/18,1,https://nek0-tkdb.github.io/tools/img/romeo_tar.jpg
84,音無 叶空,誰が為の彦星,18章,水,2025/11/11,2025/11/18,2,https://nek0-tkdb.github.io/tools/img/towa_18.jpg
84,ライカ・コルト,なに見てんだよ、人間,恒常,草,2025/11/11,2025/11/18,7,https://nek0-tkdb.github.io/tools/img/lyca01.jpg
85,灰園 翔平,夜景を溶かしたカクテル,休日,草,2025/11/14,2025/11/21,1,https://nek0-tkdb.github.io/tools/img/shohei_hol.jpg
85,ルーカス・エラント,君への誓いにかけて,結婚,水,2025/11/14,2025/11/21,2,https://nek0-tkdb.github.io/tools/img/lucas_mar.jpg
85,歩二 魁斗,愚者の誘惑,誕生日,草,2025/11/14,2025/11/21,3,https://nek0-tkdb.github.io/tools/img/kaito_tar.jpg
85,黒鷲 玲音,真夜中のグランギニョル,ハロウィン,草,2025/11/18,2025/11/25,1,https://nek0-tkdb.github.io/tools/img/leo_hw.jpg
85,加賀見 昴流,星と想いは波の随に,18章,火,2025/11/18,2025/11/25,2,https://nek0-tkdb.github.io/tools/img/subaru_18.jpg
85,御堂 亜嵐,此処が地獄であろうとも,11章,草,2025/11/18,2025/11/25,3,https://nek0-tkdb.github.io/tools/img/alan_11.jpg
86,桐崎 次郎,夜に彩づく静かな紅,浴衣,水,2025/11/21,2025/11/28,1,https://nek0-tkdb.github.io/tools/img/jiro_spr.jpg
86,殊玉 善治,素敵なサムシング探訪記,休日,火,2025/11/21,2025/11/28,4,https://nek0-tkdb.github.io/tools/img/zenji_hol.jpg
86,白波 蓮,最悪に次ぐ最悪,恒常,水,2025/11/25,2025/12/02,6,https://nek0-tkdb.github.io/tools/img/ren01.jpg
86,磴 塔真,眠らぬ白肌にお仕置きを,ハロウィン,水,2025/11/25,2025/12/02,1,https://nek0-tkdb.github.io/tools/img/tohma_hw.jpg
86,観月 累,死神の寵愛,恒常,水,2025/11/25,2025/12/02,5,https://nek0-tkdb.github.io/tools/img/rui01.jpg
86,衣佐美 佑理,黒死降る街の救い手,14章,草,2025/11/25,2025/12/02,3,https://nek0-tkdb.github.io/tools/img/yuri_14.jpg
87,冠氷 尋,溶けぬ氷を抱いて沈む,23章,水,2025/11/28,2025/12/05,1,https://nek0-tkdb.github.io/tools/img/jin_23.jpg
87,星喰 大我,博徒は欲望のままに,恒常,水,2025/11/28,2025/12/05,5,https://nek0-tkdb.github.io/tools/img/taiga01.jpg
87,針条 律,全ての黒を眩き白に,恒常,火,2025/12/02,2025/12/09,7,https://nek0-tkdb.github.io/tools/img/ritsu01.jpg
87,艸楽 陽,笑声は暴雨と共に沈む,23章,草,2025/12/02,2025/12/09,1,https://nek0-tkdb.github.io/tools/img/haru_23.jpg
87,桐崎 次郎,グラスが満ちる頃には,17章,水,2025/12/02,2025/12/09,2,https://nek0-tkdb.github.io/tools/img/jiro_17.jpg
87,ライカ・コルト,見習い執事は破天荒,10章,水,2025/12/02,2025/12/09,5,https://nek0-tkdb.github.io/tools/img/lyca_10.jpg
88,星喰 大我,強欲の城は砂殿に沈む,23章,草,2025/12/05,2025/12/12,1,https://nek0-tkdb.github.io/tools/img/taiga_23.jpg
88,草薙 伯玖,教皇の誘惑,誕生日,水,2025/12/05,2025/12/12,2,https://nek0-tkdb.github.io/tools/img/haku_tar.jpg
88,ロミオ・ルッチ,凛と咲く風待草の如く,浴衣,草,2025/12/09,2025/12/16,2,https://nek0-tkdb.github.io/tools/img/romeo_spr.jpg
88,御堂 亜嵐,朽ちた鎖に縛られ沈む,23章,草,2025/12/09,2025/12/16,1,https://nek0-tkdb.github.io/tools/img/alan_23.jpg
88,歩二 魁斗,ジルコンの煌めき,誕生日,水,2025/12/09,2025/12/16,1,https://nek0-tkdb.github.io/tools/img/kaito_jewel.jpg
88,加賀見 昴流,雨霞に煙る立役者,恒常,草,2025/12/09,2025/12/16,5,https://nek0-tkdb.github.io/tools/img/subaru01.jpg
89,エドワード・ハート,夜毎語らう夢の罠,17章,水,2025/12/12,2025/12/19,2,https://nek0-tkdb.github.io/tools/img/edward_17.jpg
89,灰園 翔平,余裕系男子,恒常,草,2025/12/12,2025/12/19,8,https://nek0-tkdb.github.io/tools/img/shohei01.jpg
89,黒鷲 玲音,キミの処遇はオレ次第,11章,草,2025/12/16,2025/12/23,4,https://nek0-tkdb.github.io/tools/img/leo_11.jpg
89,ライカ・コルト,サムシング・ブルー,結婚,草,2025/12/16,2025/12/23,1,https://nek0-tkdb.github.io/tools/img/lyca_mar.jpg
89,白波 蓮,剣の８の誘惑,誕生日,草,2025/12/16,2025/12/23,2,https://nek0-tkdb.github.io/tools/img/ren_tar.jpg
89,ルーカス・エラント,戦車の誘惑,誕生日,草,2025/12/16,2025/12/23,3,https://nek0-tkdb.github.io/tools/img/lucas_tar.jpg
90,草薙 伯玖,悪戯な笑みに誘われて,パジャマ,草,2025/12/19,2025/12/26,1,https://nek0-tkdb.github.io/tools/img/haku_pjm.jpg
90,磴 塔真,剣の３の誘惑,誕生日,火,2025/12/19,2025/12/26,2,https://nek0-tkdb.github.io/tools/img/tohma_tar.jpg
90,殊玉 善治,聖杯のナイトの誘惑,誕生日,草,2025/12/23,2025/12/30,2,https://nek0-tkdb.github.io/tools/img/zenji_tar.jpg
90,冠氷 尋,氷皇の素顔,パジャマ,水,2025/12/23,2025/12/30,4,https://nek0-tkdb.github.io/tools/img/jin_pjm.jpg
90,星喰 大我,激情の獣の檻の中で,パジャマ,草,2025/12/23,2025/12/30,2,https://nek0-tkdb.github.io/tools/img/taiga_pjm.jpg
90,音無 叶空,言の葉は泡となりて,恒常,草,2025/12/23,2025/12/30,6,https://nek0-tkdb.github.io/tools/img/towa01.jpg
91,加賀見 昴流,声なき嘆きの中に沈む,24章,水,2025/12/26,2026/01/02,1,https://nek0-tkdb.github.io/tools/img/subaru_24.jpg
91,灰園 翔平,熱を鎮める強炭酸,浴衣,草,2025/12/26,2026/01/02,3,https://nek0-tkdb.github.io/tools/img/shohei_spr.jpg
91,歩二 魁斗,光弓の射手,13章,水,2025/12/30,2026/01/06,3,https://nek0-tkdb.github.io/tools/img/kaito_13.jpg
91,衣佐美 佑理,理想の灯は灰に沈む,24章,草,2025/12/30,2026/01/06,1,https://nek0-tkdb.github.io/tools/img/yuri_24.jpg
91,観月 累,心に触れる花束を,結婚,火,2025/12/30,2026/01/06,5,https://nek0-tkdb.github.io/tools/img/rui_mar.jpg
91,ライカ・コルト,ガリバーの食卓,ハロウィン,火,2026/01/01,2026/01/09,2,https://nek0-tkdb.github.io/tools/img/lyca_hw.jpg
91,冠氷 尋,独奏は静かに凍り付き,日常,火,2026/01/01,2026/01/09,1,https://nek0-tkdb.github.io/tools/img/jin_daily.jpg
91,桐崎 次郎,晦冥の底に沈む,14章,火,2026/01/01,2026/01/09,3,https://nek0-tkdb.github.io/tools/img/jiro_14.jpg
91,草薙 伯玖,諧謔趣味の若神主,恒常,火,2026/01/01,2026/01/09,6,https://nek0-tkdb.github.io/tools/img/haku01.jpg
92,エドワード・ハート,色なき心を見つめて沈む,24章,草,2026/01/02,2026/01/09,1,https://nek0-tkdb.github.io/tools/img/edward_24.jpg
92,御堂 亜嵐,雨音をいつかの拳に重ね,19章,火,2026/01/02,2026/01/09,2,https://nek0-tkdb.github.io/tools/img/alan_19.jpg
92,艸楽 陽,怪異サファリにようこそ,恒常,火,2026/01/06,2026/01/13,6,https://nek0-tkdb.github.io/tools/img/haru01.jpg
92,白波 蓮,悪態を鎮める火照り,浴衣,火,2026/01/06,2026/01/13,1,https://nek0-tkdb.github.io/tools/img/ren_spr.jpg
92,加賀見 昴流,奈落に咲く花,15章,水,2026/01/06,2026/01/13,3,https://nek0-tkdb.github.io/tools/img/subaru_15.jpg
92,ロミオ・ルッチ,艶やかに散りゆく紅,8章,水,2026/01/06,2026/01/13,4,https://nek0-tkdb.github.io/tools/img/romeo08.jpg
93,灰園 翔平,何気ない朝の視線,パジャマ,水,2026/01/09,2026/01/16,1,https://nek0-tkdb.github.io/tools/img/shohei_daily.jpg
93,星喰 大我,気怠い朝光の誘惑,浴衣,水,2026/01/09,2026/01/16,4,https://nek0-tkdb.github.io/tools/img/taiga_spr.jpg
93,黒鷲 玲音,無秩序に刺激的な色を,19章,火,2026/01/13,2026/01/20,2,https://nek0-tkdb.github.io/tools/img/leo_19.jpg
93,針条 律,ガーネットの光芒,誕生日,水,2026/01/13,2026/01/20,1,https://nek0-tkdb.github.io/tools/img/ritsu_jewel.jpg
93,桐崎 次郎,ぼやける視線の先には,休日,草,2026/01/13,2026/01/20,3,https://nek0-tkdb.github.io/tools/img/jiro_pjm.jpg
93,磴 塔真,更けゆく夜への献杯,13章,水,2026/01/13,2026/01/20,3,https://nek0-tkdb.github.io/tools/img/tohma_13.jpg
94,観月 累,死が訪れない夜に,パジャマ,草,2026/01/16,2026/01/23,1,https://nek0-tkdb.github.io/tools/img/rui_daily.jpg
94,殊玉 善治,心に秘めた願い,18章,水,2026/01/16,2026/01/23,2,https://nek0-tkdb.github.io/tools/img/zenji_18.jpg
94,衣佐美 佑理,時を越えた対話,休日,火,2026/01/16,2026/01/23,4,https://nek0-tkdb.github.io/tools/img/yuri_hol.jpg
94,ルーカス・エラント,たゆまぬ研鑽の軌跡,日常,草,2026/1/20,2026/1/27,1,https://nek0-tkdb.github.io/tools/img/lucas_daily.jpg
94,冠氷 尋,夏を染める氷貴,17章,水,2026/1/20,2026/1/27,2,https://nek0-tkdb.github.io/tools/img/jin_17.jpg
94,音無 叶空,恋人の誘惑,誕生日,火,2026/1/20,2026/1/27,3,https://nek0-tkdb.github.io/tools/img/towa_tar.jpg
95,黒鷲 玲音,誘惑する悪魔の寝床,パジャマ,水,2026/01/23,2026/01/30,1,https://nek0-tkdb.github.io/tools/img/leo_pjm.jpg
95,草薙 伯玖,ただありふれた祝福を,結婚,草,2026/01/23,2026/01/30,6,https://nek0-tkdb.github.io/tools/img/haku_mar.jpg
95,ライカ・コルト,杖のペイジの誘惑,誕生日,草,2026/01/23,2026/01/30,3,https://nek0-tkdb.github.io/tools/img/lyca_tar.jpg
95,観月 累,はじけて消える想いの粒,17章,草,2026/01/27,2026/02/03,2,https://nek0-tkdb.github.io/tools/img/rui_17.jpg
95,灰園 翔平,吹き溜まりの楽園にて,19章,水,2026/01/27,2026/02/03,2,https://nek0-tkdb.github.io/tools/img/shohei_19.jpg
95,エドワード・ハート,夜を染める狭い個室,パジャマ,草,2026/01/27,2026/02/03,3,https://nek0-tkdb.github.io/tools/img/edward_pjm.jpg
96,桐崎 次郎,颯爽たるトレモロ,学園祭,火,2026/01/30,2026/02/06,1,https://nek0-tkdb.github.io/tools/img/jiro_fes.jpg
96,艸楽 陽,弾けるポップな夜遊びを,休日,草,2026/01/30,2026/02/06,5,https://nek0-tkdb.github.io/tools/img/haru_hol.jpg
96,白波 蓮,聖域への立ち入り許可,パジャマ,水,2026/01/30,2026/02/06,3,https://nek0-tkdb.github.io/tools/img/ren_pjm.jpg
96,歩二 魁斗,名前のない高鳴り,学園祭,火,2026/02/03,2026/02/10,1,https://nek0-tkdb.github.io/tools/img/kaito_fes.jpg
96,衣佐美 佑理,暴れる心拍数,学園祭,水,2026/02/03,2026/02/10,1,https://nek0-tkdb.github.io/tools/img/yuri_fes.jpg
96,御堂 亜嵐,夕闇迫る黒鉄の下で,休日,水,2026/02/03,2026/02/10,4,https://nek0-tkdb.github.io/tools/img/alan_hol.jpg
97,灰園 翔平,特別メニューはただ甘く,チョコ,火,2026/02/06,2026/02/13,4,https://nek0-tkdb.github.io/tools/img/shohei_choco.jpg
97,観月 累,ハートも溶かす熱い囁き,チョコ,水,2026/02/06,2026/02/13,3,https://nek0-tkdb.github.io/tools/img/rui_choco.jpg
97,冠氷 尋,心の裂け目をなぞる指,13章,草,2026/02/10,2026/02/17,3,https://nek0-tkdb.github.io/tools/img/jin_13.jpg
97,ロミオ・ルッチ,潮風に映ゆる美貌,水着,草,2026/02/10,2026/02/17,2,https://nek0-tkdb.github.io/tools/img/romeo_swim.jpg
97,磴 塔真,受け取る覚悟,チョコ,火,2026/02/10,2026/02/17,1,https://nek0-tkdb.github.io/tools/img/tohma_tar.jpg
